jogador_pasta,img,nome,overall,gols_jogador,gols_time,assistencias_jogador,assistencias_time,finalizacoes_jogador,finalizacoes_time,precisao_finalizacoes_pct_jogador,precisao_finalizacoes_pct_time,passes_jogador,passes_time,precisao_passes_pct_jogador,precisao_passes_pct_time,dribles_jogador,dribles_time,taxa_dribles_certos_pct_jogador,taxa_dribles_certos_pct_time,divididas_jogador,divididas_time,taxa_divididas_ganhas_pct_jogador,taxa_divididas_ganhas_pct_time,impedimentos_jogador,impedimentos_time,faltas_cometidas_jogador,faltas_cometidas_time,posses_bola_ganhas_jogador,posses_bola_ganhas_time,perdas_posse_bola_jogador,perdas_posse_bola_time,minutos_jogados_media_time_jogador,minutos_jogados_media_time_time,distancia_percorrida_media_time_km_jogador,distancia_percorrida_media_time_km_time,distancia_corrida_media_time_km_jogador,distancia_corrida_media_time_km_time
,Captura de Tela (1536).png,Jefferson Lerma,76,0,2,0,1,1,16,0,44,10,93,80,86,9,79,100,95,2,14,100,36,0,0,0,3,3,16,1,10,98,77,"9,3","6,9","1,0","0,9"
,Captura de Tela (1559).png,Daichi Kamada,80,0,0,0,0,3,12,33,50,5,100,100,89,7,84,100,92,0,11,0,27,0,0,0,1,1,16,2,19,25,63,"2,7","6,3","0,6","0,8"
,Captura de Tela (1560).png,Jean-Philippe Mateta,79,0,0,0,0,3,12,33,50,8,100,88,89,7,84,86,92,0,11,0,27,0,0,0,1,0,16,4,19,67,63,"6,6","6,3","0,8","0,8"
,Captura de Tela (1561).png,Ismaila Sarr,82,0,0,0,0,5,12,60,50,5,100,80,89,8,84,88,92,0,11,0,27,0,0,0,1,0,16,2,19,92,63,"1,1","6,3","2,0","0,8"
,Captura de Tela (1562).png,Anthony Gordon,78,0,0,0,0,0,12,0,50,13,100,77,89,7,84,100,92,0,11,0,27,0,0,0,1,0,16,2,19,92,63,"0,1","4,3","1,3","0,8"
,Captura de Tela (1563).png,Davies,77,0,0,0,0,0,12,0,50,17,100,94,89,16,84,94,92,1,11,100,27,0,0,0,1,3,16,2,19,87,63,"9,7","6,3","0,8","0,8"
,Captura de Tela (1627).png,Eddie Nketiah,76,1,4,0,3,1,15,100,53,0,193,0,90,1,162,100,93,0,11,0,9,1,1,0,2,0,28,0,22,22,67,"2,1","6,2","0,5","0,9"
,Captura de Tela (1628).png,Jean-Philippe Mateta,79,0,4,0,3,2,15,0,53,18,193,83,90,12,162,92,93,0,11,0,9,0,1,0,2,0,28,4,22,70,67,"6,2","6,2","0,8","0,9"
,Captura de Tela (1629).png,Daichi Kamada,80,0,4,1,3,1,15,0,53,10,193,100,90,12,162,83,93,0,11,0,9,0,1,0,2,1,28,2,22,47,67,"4,5","6,2","0,6","0,9"
,Captura de Tela (1630).png,Ismaita Sarr,82,2,4,1,3,5,15,60,53,12,193,83,90,15,162,93,93,0,11,0,9,0,1,1,2,1,28,2,22,92,67,"9,8","6,2","2,1","0,9"
,Captura de Tela (1631).png,Anthony Gordon,78,0,4,1,3,4,15,50,53,16,193,75,90,18,162,78,93,0,11,0,9,0,1,0,2,3,28,6,22,92,67,"9,5","6,2","1,4","0,9"
,Captura de Tela (1632).png,Kevin Kampl,79,0,4,0,3,0,15,0,53,6,193,67,90,4,162,100,93,0,11,0,9,0,1,0,2,0,28,0,22,22,67,"2,3","6,2","0,4","0,9"
,Captura de Tela (1633).png,Cheick Doucoure,77,1,4,0,3,2,15,100,53,23,193,96,90,20,162,100,93,0,11,0,9,0,1,0,2,0,28,2,22,92,67,"8,6","6,2","0,8","0,9"
,Captura de Tela (1634).png,Cheick Doucoure,77,1,4,0,3,2,15,100,53,23,193,96,90,20,162,100,93,0,11,0,9,0,1,0,2,0,28,2,22,92,67,"8,6","6,2","0,8","0,9"
,Captura de Tela (1635).png,Davies,77,0,4,0,3,0,15,0,53,18,193,94,90,14,162,93,93,2,11,50,9,0,1,0,2,2,28,2,22,70,67,"6,6","6,2","0,6","0,9"
,Captura de Tela (1636).png,Jefferson Lerma,76,0,4,0,3,0,15,0,53,17,193,100,90,11,162,100,93,2,11,0,9,0,1,0,2,0,28,0,22,45,67,"4,5","6,2","0,6","0,9"
,Captura de Tela (1650).png,Sarr,82,0,1,1,1,1,4,0,25,16,86,75,86,13,69,92,88,0,11,0,18,0,0,1,2,4,13,3,13,94,68,"0,1","6,4","0,7","0,4"
,Captura de Tela (1651).png,Jean-Philippe Mateta,79,1,1,0,1,1,4,100,25,6,86,83,86,6,69,83,88,1,11,0,18,0,0,0,2,0,13,2,13,94,68,"8,8","6,4","0,5","0,4"
,Captura de Tela (1652).png,Anthony Gordon,78,0,1,0,1,0,4,0,25,7,86,86,86,6,69,50,88,1,11,100,18,0,0,0,2,1,13,2,13,94,68,"0,3","6,4","1,0","0,4"
,Captura de Tela (1653).png,Daichi Kamada,80,0,1,0,1,1,4,0,25,3,86,67,86,6,69,67,88,1,11,0,18,0,0,0,2,0,13,3,13,94,68,"9,6","6,4","0,7","0,4"
,Captura de Tela (1654).png,Tom Davies,77,0,1,0,1,0,4,0,25,7,86,100,86,6,9,83,8,1,11,0,18,0,0,0,2,0,13,1,13,60,68,"6,3","6,4","0,2","0,4"
,Captura de Tela (1655).png,Jefferson Lerma,76,0,1,0,1,0,4,0,25,3,86,100,86,2,69,100,88,0,11,0,18,0,0,0,2,1,13,0,13,34,68,"3,3","6,4","0,2","0,4"
,Captura de Tela (1656).png,Cheick Doucouré,77,0,1,0,1,0,4,0,25,11,86,100,86,8,69,100,88,0,11,0,18,0,0,0,2,0,13,0,13,60,68,"5,7","6,4","0,2","0,4"
,Captura de Tela (1657).png,Lewis Cook,77,0,1,0,1,1,4,0,25,0,86,0,86,1,69,100,88,0,11,0,18,0,0,0,2,0,13,0,13,34,68,"3,4","6,4","0,2","0,4"
,Captura de Tela (1658).png,Marc Guehi,81,0,1,0,1,0,4,0,25,6,86,100,86,3,69,100,88,2,11,0,18,0,0,0,2,3,13,0,13,94,68,"7,9","6,4","0,2","0,4"
,Captura de Tela (1661).png,Fddie Nketiah,76,0,0,0,0,0,6,0,0,1,88,0,80,1,70,100,91,0,16,0,38,0,0,0,4,0,17,0,15,31,67,"3,3","6,9","0,6","1,0"
,Captura de Tela (1662).png,Jesurun Rak-Sakyi,72,0,0,0,0,0,6,0,0,1,88,100,80,1,70,100,1,0,16,0,38,0,0,0,4,0,17,0,15,31,67,"3,4","6,9","0,8","1,0"
,Captura de Tela (1663).png,Jean-Philippe Mateta,79,0,0,0,0,2,6,0,0,5,88,100,80,5,70,100,1,0,16,0,38,0,0,0,4,0,17,0,15,63,67,"6,3","6,9","0,4","1,0"
,Captura de Tela (1664).png,Ismaila Sarr,82,0,0,0,0,3,6,0,0,3,88,67,80,8,70,75,91,3,16,33,38,0,0,0,4,1,17,2,15,63,67,"8,6","6,9","2,6","1,0"
,Captura de Tela (1665).png,Anthony Gordon,78,0,0,0,0,0,6,0,0,13,88,69,80,10,70,90,91,0,16,0,38,0,0,0,4,0,17,5,15,94,67,"1,0","6,9","2,1","1,0"
,Captura de Tela (1666).png,Tom Davies,77,0,0,0,0,0,6,0,0,11,88,91,80,9,70,100,91,2,16,100,38,0,0,0,4,2,17,1,15,76,67,"8,4","6,9","1,1","1,0"
,Captura de Tela (1667).png,Jefferson Lerma,76,0,0,0,0,0,6,0,0,6,88,67,80,6,70,83,91,2,16,0,38,0,0,1,4,2,17,2,15,68,67,"7,4","6,9","0,5","1,0"
,Captura de Tela (1668).png,Lewis,77,0,0,0,0,0,6,0,0,7,88,71,80,6,70,83,91,2,16,0,38,0,0,0,4,1,17,2,15,94,67,"9,7","6,9","1,3","1,0"
,Captura de Tela (1701).png,Eddie Nketiah,76,1,1,0,1,2,4,50,25,6,144,100,86,8,114,88,88,1,22,100,27,0,0,0,4,3,22,1,22,47,63,"5,4","6,8","1,0","1,2"
,Captura de Tela (1702).png,Jean-Philippe Mateta,79,0,1,0,1,0,4,0,25,3,144,100,86,3,114,67,88,0,22,0,27,0,0,0,4,0,22,1,22,45,63,"4,7","6,8","0,9","1,2"
,Captura de Tela (1703).png,Sarr,82,0,1,0,1,1,4,0,25,8,144,75,86,9,114,44,88,0,22,0,27,0,0,0,4,1,22,4,22,65,63,"8,6","6,8","2,6","1,2"
,Captura de Tela (1704).png,Davies,77,0,1,0,1,0,4,0,25,16,144,81,86,18,114,89,88,4,22,75,27,0,0,1,4,3,22,3,22,92,63,"0,4","6,8","1,5","1,2"
,Captura de Tela (1705).png,Anthony Gordon,78,0,1,1,1,0,4,0,25,16,144,69,86,12,114,100,88,1,22,100,27,0,0,0,4,2,22,2,22,92,63,"0,8","6,8","2,6","1,2"
,Captura de Tela (1706).png,Lewis Cook,77,0,1,0,1,0,4,0,25,6,144,83,86,4,114,100,88,4,22,0,27,0,0,0,4,0,22,1,22,47,63,"5,0","6,8","0,8","1,2"
,Captura de Tela (1707).png,Jefferson Lerma,76,0,1,0,1,1,4,0,25,23,144,91,86,18,114,94,88,4,22,0,27,0,0,0,4,0,22,2,22,92,63,"0,1","6,8","1,4","1,2"
